期号,中奖号码,总和,开奖日期
24050,495,18,2024-02-29
24049,631,10,2024-02-28
24048,396,18,2024-02-27
24047,760,13,2024-02-26
24046,702,9,2024-02-25
24045,757,19,2024-02-24
24044,885,21,2024-02-23
24043,296,17,2024-02-22
24042,342,9,2024-02-21
24041,905,14,2024-02-20
24040,514,10,2024-02-19
24039,508,13,2024-02-18
24038,529,16,2024-02-07
24037,910,10,2024-02-06
24036,547,16,2024-02-05
24035,306,9,2024-02-04
24034,17,8,2024-02-03
24033,739,19,2024-02-02
24032,805,13,2024-02-01
24031,682,16,2024-01-31
24030,951,15,2024-01-30
24029,575,17,2024-01-29
24028,259,16,2024-01-28
24027,502,7,2024-01-27
24026,751,13,2024-01-26
24025,314,8,2024-01-25
24024,199,19,2024-01-24
24023,793,19,2024-01-23
24022,124,7,2024-01-22
24021,370,10,2024-01-21
24020,406,10,2024-01-20
24019,313,7,2024-01-19
24018,859,22,2024-01-18
24017,555,15,2024-01-17
24016,702,9,2024-01-16
24015,475,16,2024-01-15
24014,187,16,2024-01-14
24013,985,22,2024-01-13
24012,81,9,2024-01-12
24011,80,8,2024-01-11
24010,281,11,2024-01-10
24009,815,14,2024-01-09
24008,405,9,2024-01-08
24007,888,24,2024-01-07
24006,284,14,2024-01-06
24005,259,16,2024-01-05
24004,665,17,2024-01-04
24003,666,18,2024-01-03
24002,544,13,2024-01-02
24001,403,7,2024-01-01
23351,571,13,2023-12-31
23350,197,17,2023-12-30
23349,923,14,2023-12-29
23348,597,21,2023-12-28
23347,742,13,2023-12-27
23346,258,15,2023-12-26
23345,678,21,2023-12-25
23344,801,9,2023-12-24
23343,730,10,2023-12-23
23342,978,24,2023-12-22
23341,341,8,2023-12-21
23340,89,17,2023-12-20
23339,482,14,2023-12-19
23338,380,11,2023-12-18
23337,846,18,2023-12-17
23336,821,11,2023-12-16
23335,47,11,2023-12-15
23334,587,20,2023-12-14
23333,989,26,2023-12-13
23332,667,19,2023-12-12
23331,402,6,2023-12-11
23330,531,9,2023-12-10
23329,289,19,2023-12-09
23328,882,18,2023-12-08
23327,314,8,2023-12-07
23326,790,16,2023-12-06
23325,717,15,2023-12-05
23324,602,8,2023-12-04
23323,945,18,2023-12-03
23322,174,12,2023-12-02
23321,211,4,2023-12-01
23320,697,22,2023-11-30
23319,965,20,2023-11-29
23318,790,16,2023-11-28
23317,397,19,2023-11-27
23316,234,9,2023-11-26
23315,747,18,2023-11-25
23314,355,13,2023-11-24
23313,414,9,2023-11-23
23312,442,10,2023-11-22
23311,583,16,2023-11-21
23310,417,12,2023-11-20
23309,329,14,2023-11-19
23308,619,16,2023-11-18
23307,936,18,2023-11-17
23306,330,6,2023-11-16
23305,679,22,2023-11-15
23304,728,17,2023-11-14
23303,572,14,2023-11-13
23302,161,8,2023-11-12
23301,41,5,2023-11-11
23300,296,17,2023-11-10
23299,808,16,2023-11-09
23298,365,14,2023-11-08
23297,761,14,2023-11-07
23296,807,15,2023-11-06
23295,882,18,2023-11-05
23294,667,19,2023-11-04
23293,434,11,2023-11-03
23292,968,23,2023-11-02
23291,150,6,2023-11-01
23290,154,10,2023-10-31
23289,998,26,2023-10-30
23288,314,8,2023-10-29
23287,894,21,2023-10-28
23286,116,8,2023-10-27
23285,716,14,2023-10-26
23284,382,13,2023-10-25
23283,29,11,2023-10-24
23282,308,11,2023-10-23
23281,344,11,2023-10-22
23280,601,7,2023-10-21
23279,391,13,2023-10-20
23278,70,7,2023-10-19
23277,28,10,2023-10-18
23276,606,12,2023-10-17
23275,984,21,2023-10-16
23274,669,21,2023-10-15
23273,121,4,2023-10-14
23272,419,14,2023-10-13
23271,96,15,2023-10-12
23270,355,13,2023-10-11
23269,234,9,2023-10-10
23268,975,21,2023-10-09
23267,554,14,2023-10-08
23266,133,7,2023-10-07
23265,224,8,2023-10-06
23264,925,16,2023-10-05
23263,993,21,2023-09-30
23262,717,15,2023-09-29
23261,930,12,2023-09-28
23260,247,13,2023-09-27
23259,88,16,2023-09-26
23258,915,15,2023-09-25
23257,908,17,2023-09-24
23256,840,12,2023-09-23
23255,56,11,2023-09-22
23254,991,19,2023-09-21
23253,986,23,2023-09-20
23252,961,16,2023-09-19
23251,736,16,2023-09-18
23250,180,9,2023-09-17
23249,39,12,2023-09-16
23248,696,21,2023-09-15
23247,937,19,2023-09-14
23246,422,8,2023-09-13
23245,480,12,2023-09-12
23244,315,9,2023-09-11
23243,966,21,2023-09-10
23242,987,24,2023-09-09
23241,935,17,2023-09-08
23240,702,9,2023-09-07
23239,440,8,2023-09-06
23238,562,13,2023-09-05
23237,798,24,2023-09-04
23236,270,9,2023-09-03
23235,424,10,2023-09-02
23234,805,13,2023-09-01
23233,124,7,2023-08-31
23232,860,14,2023-08-30
23231,365,14,2023-08-29
23230,949,22,2023-08-28
23229,678,21,2023-08-27
23228,773,17,2023-08-26
23227,901,10,2023-08-25
23226,535,13,2023-08-24
23225,118,10,2023-08-23
23224,374,14,2023-08-22
23223,740,11,2023-08-21
23222,977,23,2023-08-20
23221,649,19,2023-08-19
23220,35,8,2023-08-18
23219,738,18,2023-08-17
23218,942,15,2023-08-16
23217,748,19,2023-08-15
23216,138,12,2023-08-14
23215,480,12,2023-08-13
23214,101,2,2023-08-12
23213,77,14,2023-08-11
23212,853,16,2023-08-10
23211,792,18,2023-08-09
23210,936,18,2023-08-08
23209,217,10,2023-08-07
23208,669,21,2023-08-06
23207,126,9,2023-08-05
23206,448,16,2023-08-04
23205,97,16,2023-08-03
23204,14,5,2023-08-02
23203,140,5,2023-08-01
23202,758,20,2023-07-31
23201,734,14,2023-07-30
23200,514,10,2023-07-29
23199,723,12,2023-07-28
23198,79,16,2023-07-27
23197,307,10,2023-07-26
23196,800,8,2023-07-25
23195,367,16,2023-07-24
23194,303,6,2023-07-23
23193,419,14,2023-07-22
23192,214,7,2023-07-21
23191,360,9,2023-07-20
23190,600,6,2023-07-19
23189,70,7,2023-07-18
23188,284,14,2023-07-17
23187,765,18,2023-07-16
23186,707,14,2023-07-15
23185,468,18,2023-07-14
23184,964,19,2023-07-13
23183,806,14,2023-07-12
23182,121,4,2023-07-11
23181,779,23,2023-07-10
23180,687,21,2023-07-09
23179,499,22,2023-07-08
23178,711,9,2023-07-07
23177,709,16,2023-07-06
23176,71,8,2023-07-05
23175,280,10,2023-07-04
23174,829,19,2023-07-03
23173,13,4,2023-07-02
23172,780,15,2023-07-01
23171,225,9,2023-06-30
23170,82,10,2023-06-29
23169,721,10,2023-06-28
23168,933,15,2023-06-27
23167,190,10,2023-06-26
23166,128,11,2023-06-25
23165,251,8,2023-06-24
23164,215,8,2023-06-23
23163,127,10,2023-06-22
23162,94,13,2023-06-21
23161,536,14,2023-06-20
23160,393,15,2023-06-19
23159,319,13,2023-06-18
23158,447,15,2023-06-17
23157,786,21,2023-06-16
23156,251,8,2023-06-15
23155,853,16,2023-06-14
23154,433,10,2023-06-13
23153,750,12,2023-06-12
23152,318,12,2023-06-11
23151,383,14,2023-06-10
23150,39,12,2023-06-09
23149,25,7,2023-06-08
23148,336,12,2023-06-07
23147,863,17,2023-06-06
23146,587,20,2023-06-05
23145,883,19,2023-06-04
23144,563,14,2023-06-03
23143,848,20,2023-06-02
23142,167,14,2023-06-01
23141,743,14,2023-05-31
23140,93,12,2023-05-30
23139,429,15,2023-05-29
23138,440,8,2023-05-28
23137,791,17,2023-05-27
23136,929,20,2023-05-26
23135,467,17,2023-05-25
23134,220,4,2023-05-24
23133,434,11,2023-05-23
23132,10,1,2023-05-22
23131,583,16,2023-05-21
23130,521,8,2023-05-20
23129,334,10,2023-05-19
23128,810,9,2023-05-18
23127,110,2,2023-05-17
23126,984,21,2023-05-16
23125,558,18,2023-05-15
23124,71,8,2023-05-14
23123,557,17,2023-05-13
23122,827,17,2023-05-12
23121,668,20,2023-05-11
23120,91,10,2023-05-10
23119,56,11,2023-05-09
23118,646,16,2023-05-08
23117,493,16,2023-05-07
23116,920,11,2023-05-06
23115,527,14,2023-05-05
23114,810,9,2023-05-04
23113,224,8,2023-05-03
23112,127,10,2023-05-02
23111,659,20,2023-05-01
23110,433,10,2023-04-30
23109,303,6,2023-04-29
23108,477,18,2023-04-28
23107,519,15,2023-04-27
23106,282,12,2023-04-26
23105,570,12,2023-04-25
23104,643,13,2023-04-24
23103,976,22,2023-04-23
23102,704,11,2023-04-22
23101,531,9,2023-04-21
23100,632,11,2023-04-20
23099,551,11,2023-04-19
23098,223,7,2023-04-18
23097,685,19,2023-04-17
23096,763,16,2023-04-16
23095,488,20,2023-04-15
23094,533,11,2023-04-14
23093,536,14,2023-04-13
23092,883,19,2023-04-12
23091,795,21,2023-04-11
23090,585,18,2023-04-10
23089,940,13,2023-04-09
23088,292,13,2023-04-08
23087,329,14,2023-04-07
23086,915,15,2023-04-06
23085,557,17,2023-04-05
23084,55,10,2023-04-04
23083,24,6,2023-04-03
23082,739,19,2023-04-02
23081,978,24,2023-04-01
23080,484,16,2023-03-31
23079,14,5,2023-03-30
23078,316,10,2023-03-29
23077,209,11,2023-03-28
23076,503,8,2023-03-27
23075,738,18,2023-03-26
23074,71,8,2023-03-25
23073,130,4,2023-03-24
23072,447,15,2023-03-23
23071,17,8,2023-03-22
23070,567,18,2023-03-21
23069,932,14,2023-03-20
23068,366,15,2023-03-19
23067,854,17,2023-03-18
23066,550,10,2023-03-17
23065,468,18,2023-03-16
23064,65,11,2023-03-15
23063,437,14,2023-03-14
23062,6,6,2023-03-13
23061,711,9,2023-03-12
23060,792,18,2023-03-11
23059,518,14,2023-03-10
23058,693,18,2023-03-09
23057,464,14,2023-03-08
23056,108,9,2023-03-07
23055,882,18,2023-03-06
23054,348,15,2023-03-05
23053,364,13,2023-03-04
23052,383,14,2023-03-03
23051,940,13,2023-03-02
23050,714,12,2023-03-01
23049,928,19,2023-02-28
23048,581,14,2023-02-27
23047,578,20,2023-02-26
23046,885,21,2023-02-25
23045,659,20,2023-02-24
23044,82,10,2023-02-23
23043,568,19,2023-02-22
23042,231,6,2023-02-21
23041,608,14,2023-02-20
23040,334,10,2023-02-19
23039,763,16,2023-02-18
23038,91,10,2023-02-17
23037,771,15,2023-02-16
23036,656,17,2023-02-15
23035,649,19,2023-02-14
23034,901,10,2023-02-13
23033,679,22,2023-02-12
23032,90,9,2023-02-11
23031,975,21,2023-02-10
23030,754,16,2023-02-09
23029,499,22,2023-02-08
23028,127,10,2023-02-07
23027,348,15,2023-02-06
23026,665,17,2023-02-05
23025,357,15,2023-02-04
23024,60,6,2023-02-03
23023,342,9,2023-02-02
23022,114,6,2023-02-01
23021,911,11,2023-01-31
23020,488,20,2023-01-30
23019,790,16,2023-01-29
23018,237,12,2023-01-18
23017,172,10,2023-01-17
23016,714,12,2023-01-16
23015,606,12,2023-01-15
23014,22,4,2023-01-14
23013,282,12,2023-01-13
23012,780,15,2023-01-12
23011,83,11,2023-01-11
23010,888,24,2023-01-10
23009,221,5,2023-01-09
23008,972,18,2023-01-08
23007,315,9,2023-01-07
23006,756,18,2023-01-06
23005,420,6,2023-01-05
23004,136,10,2023-01-04
23003,900,9,2023-01-03
23002,70,7,2023-01-02
23001,458,17,2023-01-01
22351,92,11,2022-12-31
22350,286,16,2022-12-30
22349,491,14,2022-12-29
22348,739,19,2022-12-28
22347,925,16,2022-12-27
22346,538,16,2022-12-26
22345,460,10,2022-12-25
22344,209,11,2022-12-24
22343,382,13,2022-12-23
22342,383,14,2022-12-22
22341,84,12,2022-12-21
22340,287,17,2022-12-20
22339,525,12,2022-12-19
22338,416,11,2022-12-18
22337,217,10,2022-12-17
22336,387,18,2022-12-16
22335,14,5,2022-12-15
22334,383,14,2022-12-14
22333,851,14,2022-12-13
22332,422,8,2022-12-12
22331,808,16,2022-12-11
22330,221,5,2022-12-10
22329,167,14,2022-12-09
22328,620,8,2022-12-08
22327,289,19,2022-12-07
22326,289,19,2022-12-06
22325,760,13,2022-12-05
22324,849,21,2022-12-04
22323,712,10,2022-12-03
22322,335,11,2022-12-02
22321,861,15,2022-12-01
22320,747,18,2022-11-30
22319,69,15,2022-11-29
22318,21,3,2022-11-28
22317,268,16,2022-11-27
22316,280,10,2022-11-26
22315,562,13,2022-11-25
22314,715,13,2022-11-24
22313,169,16,2022-11-23
22312,132,6,2022-11-22
22311,682,16,2022-11-21
22310,257,14,2022-11-20
22309,41,5,2022-11-19
22308,216,9,2022-11-18
22307,372,12,2022-11-17
22306,559,19,2022-11-16
22305,48,12,2022-11-15
22304,174,12,2022-11-14
22303,533,11,2022-11-13
22302,875,20,2022-11-12
22301,181,10,2022-11-11
22300,94,13,2022-11-10
22299,299,20,2022-11-09
22298,872,17,2022-11-08
22297,111,3,2022-11-07
22296,9,9,2022-11-06
22295,608,14,2022-11-05
22294,666,18,2022-11-04
22293,385,16,2022-11-03
22292,977,23,2022-11-02
22291,633,12,2022-11-01
22290,837,18,2022-10-31
22289,769,22,2022-10-30
22288,561,12,2022-10-29
22287,746,17,2022-10-28
22286,980,17,2022-10-27
22285,436,13,2022-10-26
22284,752,14,2022-10-25
22283,820,10,2022-10-24
22282,896,23,2022-10-23
22281,101,2,2022-10-22
22280,133,7,2022-10-21
22279,974,20,2022-10-20
22278,492,15,2022-10-19
22277,246,12,2022-10-18
22276,761,14,2022-10-17
22275,59,14,2022-10-16
22274,65,11,2022-10-15
22273,746,17,2022-10-14
22272,329,14,2022-10-13
22271,567,18,2022-10-12
22270,227,11,2022-10-11
22269,375,15,2022-10-10
22268,384,15,2022-10-09
22267,534,12,2022-10-08
22266,210,3,2022-10-07
22265,464,14,2022-10-06
22264,786,21,2022-10-05
22263,335,11,2022-09-30
22262,329,14,2022-09-29
22261,26,8,2022-09-28
22260,469,19,2022-09-27
22259,448,16,2022-09-26
22258,196,16,2022-09-25
22257,792,18,2022-09-24
22256,405,9,2022-09-23
22255,339,15,2022-09-22
22254,735,15,2022-09-21
22253,916,16,2022-09-20
22252,167,14,2022-09-19
22251,124,7,2022-09-18
22250,15,6,2022-09-17
22249,6,6,2022-09-16
22248,49,13,2022-09-15
22247,446,14,2022-09-14
22246,832,13,2022-09-13
22245,846,18,2022-09-12
22244,124,7,2022-09-11
22243,474,15,2022-09-10
22242,89,17,2022-09-09
22241,73,10,2022-09-08
22240,195,15,2022-09-07
22239,289,19,2022-09-06
22238,622,10,2022-09-05
22237,699,24,2022-09-04
22236,885,21,2022-09-03
22235,824,14,2022-09-02
22234,887,23,2022-09-01
22233,867,21,2022-08-31
22232,642,12,2022-08-30
22231,466,16,2022-08-29
22230,901,10,2022-08-28
22229,766,19,2022-08-27
22228,544,13,2022-08-26
22227,613,10,2022-08-25
22226,989,26,2022-08-24
22225,431,8,2022-08-23
22224,897,24,2022-08-22
22223,58,13,2022-08-21
22222,291,12,2022-08-20
22221,246,12,2022-08-19
22220,380,11,2022-08-18
22219,292,13,2022-08-17
22218,745,16,2022-08-16
22217,514,10,2022-08-15
22216,762,15,2022-08-14
22215,62,8,2022-08-13
22214,822,12,2022-08-12
22213,829,19,2022-08-11
22212,644,14,2022-08-10
22211,321,6,2022-08-09
22210,630,9,2022-08-08
22209,356,14,2022-08-07
22208,632,11,2022-08-06
22207,465,15,2022-08-05
22206,222,6,2022-08-04
22205,468,18,2022-08-03
22204,666,18,2022-08-02
22203,629,17,2022-08-01
22202,902,11,2022-07-31
22201,213,6,2022-07-30
22200,303,6,2022-07-29
22199,332,8,2022-07-28
22198,37,10,2022-07-27
22197,930,12,2022-07-26
22196,123,6,2022-07-25
22195,122,5,2022-07-24
22194,780,15,2022-07-23
22193,162,9,2022-07-22
22192,681,15,2022-07-21
22191,210,3,2022-07-20
22190,748,19,2022-07-19
22189,235,10,2022-07-18
22188,481,13,2022-07-17
22187,718,16,2022-07-16
22186,153,9,2022-07-15
22185,545,14,2022-07-14
22184,966,21,2022-07-13
22183,188,17,2022-07-12
22182,406,10,2022-07-11
22181,71,8,2022-07-10
22180,312,6,2022-07-09
22179,946,19,2022-07-08
22178,921,12,2022-07-07
22177,242,8,2022-07-06
22176,416,11,2022-07-05
22175,151,7,2022-07-04
22174,284,14,2022-07-03
22173,546,15,2022-07-02
22172,342,9,2022-07-01
22171,924,15,2022-06-30
22170,789,24,2022-06-29
22169,469,19,2022-06-28
22168,553,13,2022-06-27
22167,299,20,2022-06-26
22166,451,10,2022-06-25
22165,457,16,2022-06-24
22164,189,18,2022-06-23
22163,771,15,2022-06-22
22162,707,14,2022-06-21
22161,507,12,2022-06-20
22160,44,8,2022-06-19
22159,240,6,2022-06-18
22158,891,18,2022-06-17
22157,417,12,2022-06-16
22156,789,24,2022-06-15
22155,57,12,2022-06-14
22154,406,10,2022-06-13
22153,155,11,2022-06-12
22152,44,8,2022-06-11
22151,113,5,2022-06-10
22150,887,23,2022-06-09
22149,464,14,2022-06-08
22148,408,12,2022-06-07
22147,196,16,2022-06-06
22146,194,14,2022-06-05
22145,728,17,2022-06-04
22144,16,7,2022-06-03
22143,158,14,2022-06-02
22142,563,14,2022-06-01
22141,755,17,2022-05-31
22140,277,16,2022-05-30
22139,136,10,2022-05-29
22138,426,12,2022-05-28
22137,244,10,2022-05-27
22136,656,17,2022-05-26
22135,48,12,2022-05-25
22134,229,13,2022-05-24
22133,654,15,2022-05-23
22132,782,17,2022-05-22
22131,266,14,2022-05-21
22130,395,17,2022-05-20
22129,5,5,2022-05-19
22128,843,15,2022-05-18
22127,117,9,2022-05-17
22126,259,16,2022-05-16
22125,264,12,2022-05-15
22124,224,8,2022-05-14
22123,154,10,2022-05-13
22122,357,15,2022-05-12
22121,621,9,2022-05-11
22120,939,21,2022-05-10
22119,46,10,2022-05-09
22118,470,11,2022-05-08
22117,457,16,2022-05-07
22116,707,14,2022-05-06
22115,836,17,2022-05-05
22114,997,25,2022-05-04
22113,653,14,2022-05-03
22112,762,15,2022-05-02
22111,956,20,2022-05-01
22110,893,20,2022-04-30
22109,92,11,2022-04-29
22108,415,10,2022-04-28
22107,64,10,2022-04-27
22106,625,13,2022-04-26
22105,642,12,2022-04-25
22104,83,11,2022-04-24
22103,46,10,2022-04-23
22102,345,12,2022-04-22
22101,124,7,2022-04-21
22100,444,12,2022-04-20
22099,464,14,2022-04-19
22098,915,15,2022-04-18
22097,96,15,2022-04-17
22096,824,14,2022-04-16
22095,140,5,2022-04-15
22094,488,20,2022-04-14
22093,958,22,2022-04-13
22092,818,17,2022-04-12
22091,809,17,2022-04-11
22090,579,21,2022-04-10
22089,844,16,2022-04-09
22088,907,16,2022-04-08
22087,133,7,2022-04-07
22086,935,17,2022-04-06
22085,279,18,2022-04-05
22084,946,19,2022-04-04
22083,328,13,2022-04-03
22082,678,21,2022-04-02
22081,168,15,2022-04-01
22080,450,9,2022-03-31
22079,854,17,2022-03-30
22078,352,10,2022-03-29
22077,918,18,2022-03-28
22076,171,9,2022-03-27
22075,761,14,2022-03-26
22074,89,17,2022-03-25
22073,200,2,2022-03-24
22072,683,17,2022-03-23
22071,371,11,2022-03-22
22070,702,9,2022-03-21
22069,586,19,2022-03-20
22068,717,15,2022-03-19
22067,13,4,2022-03-18
22066,408,12,2022-03-17
22065,994,22,2022-03-16
22064,615,12,2022-03-15
22063,773,17,2022-03-14
22062,892,19,2022-03-13
22061,353,11,2022-03-12
22060,210,3,2022-03-11
22059,592,16,2022-03-10
22058,47,11,2022-03-09
22057,147,12,2022-03-08
22056,99,18,2022-03-07
22055,277,16,2022-03-06
22054,269,17,2022-03-05
22053,566,17,2022-03-04
22052,466,16,2022-03-03
22051,846,18,2022-03-02
22050,70,7,2022-03-01
22049,487,19,2022-02-28
22048,712,10,2022-02-27
22047,815,14,2022-02-26
22046,387,18,2022-02-25
22045,429,15,2022-02-24
22044,538,16,2022-02-23
22043,96,15,2022-02-22
22042,500,5,2022-02-21
22041,533,11,2022-02-20
22040,591,15,2022-02-19
22039,475,16,2022-02-18
22038,393,15,2022-02-17
22037,341,8,2022-02-16
22036,87,15,2022-02-15
22035,402,6,2022-02-14
22034,922,13,2022-02-13
22033,358,16,2022-02-12
22032,703,10,2022-02-11
22031,605,11,2022-02-10
22030,460,10,2022-02-09
22029,134,8,2022-02-08
22028,961,16,2022-01-28
22027,924,15,2022-01-27
22026,618,15,2022-01-26
22025,974,20,2022-01-25
22024,503,8,2022-01-24
22023,489,21,2022-01-23
22022,974,20,2022-01-22
22021,492,15,2022-01-21
22020,515,11,2022-01-20
22019,855,18,2022-01-19
22018,729,18,2022-01-18
22017,515,11,2022-01-17
22016,947,20,2022-01-16
22015,993,21,2022-01-15
22014,788,23,2022-01-14
22013,86,14,2022-01-13
22012,505,10,2022-01-12
22011,73,10,2022-01-11
22010,648,18,2022-01-10
22009,856,19,2022-01-09
22008,842,14,2022-01-08
22007,523,10,2022-01-07
22006,438,15,2022-01-06
22005,871,16,2022-01-05
22004,99,18,2022-01-04
22003,558,18,2022-01-03
22002,287,17,2022-01-02
22001,378,18,2022-01-01
21351,264,12,2021-12-31
21350,135,9,2021-12-30
21349,290,11,2021-12-29
21348,241,7,2021-12-28
21347,839,20,2021-12-27
21346,343,10,2021-12-26
21345,508,13,2021-12-25
21344,46,10,2021-12-24
21343,880,16,2021-12-23
21342,676,19,2021-12-22
21341,703,10,2021-12-21
21340,321,6,2021-12-20
21339,189,18,2021-12-19
21338,244,10,2021-12-18
21337,722,11,2021-12-17
21336,455,14,2021-12-16
21335,110,2,2021-12-15
21334,792,18,2021-12-14
21333,404,8,2021-12-13
21332,934,16,2021-12-12
21331,949,22,2021-12-11
21330,204,6,2021-12-10
21329,131,5,2021-12-09
21328,336,12,2021-12-08
21327,328,13,2021-12-07
21326,461,11,2021-12-06
21325,612,9,2021-12-05
21324,931,13,2021-12-04
21323,454,13,2021-12-03
21322,170,8,2021-12-02
21321,977,23,2021-12-01
21320,940,13,2021-11-30
21319,86,14,2021-11-29
21318,731,11,2021-11-28
21317,355,13,2021-11-27
21316,688,22,2021-11-26
21315,484,16,2021-11-25
21314,194,14,2021-11-24
21313,593,17,2021-11-23
21312,8,8,2021-11-22
21311,805,13,2021-11-21
21310,148,13,2021-11-20
21309,457,16,2021-11-19
21308,838,19,2021-11-18
21307,183,12,2021-11-17
21306,233,8,2021-11-16
21305,156,12,2021-11-15
21304,900,9,2021-11-14
21303,143,8,2021-11-13
21302,925,16,2021-11-12
21301,622,10,2021-11-11
21300,140,5,2021-11-10
21299,888,24,2021-11-09
21298,589,22,2021-11-08
21297,512,8,2021-11-07
21296,468,18,2021-11-06
21295,235,10,2021-11-05
21294,488,20,2021-11-04
21293,420,6,2021-11-03
21292,521,8,2021-11-02
21291,44,8,2021-11-01
21290,489,21,2021-10-31
21289,321,6,2021-10-30
21288,566,17,2021-10-29
21287,770,14,2021-10-28
21286,853,16,2021-10-27
21285,780,15,2021-10-26
21284,504,9,2021-10-25
21283,806,14,2021-10-24
21282,470,11,2021-10-23
21281,597,21,2021-10-22
21280,868,22,2021-10-21
21279,111,3,2021-10-20
21278,157,13,2021-10-19
21277,700,7,2021-10-18
21276,504,9,2021-10-17
21275,276,15,2021-10-16
21274,812,11,2021-10-15
21273,316,10,2021-10-14
21272,28,10,2021-10-13
21271,530,8,2021-10-12
21270,671,14,2021-10-11
21269,134,8,2021-10-10
21268,183,12,2021-10-09
21267,700,7,2021-10-08
21266,55,10,2021-10-07
21265,95,14,2021-10-06
21264,956,20,2021-10-05
21263,244,10,2021-09-30
21262,414,9,2021-09-29
21261,195,15,2021-09-28
21260,186,15,2021-09-27
21259,115,7,2021-09-26
21258,751,13,2021-09-25
21257,914,14,2021-09-24
21256,503,8,2021-09-23
21255,917,17,2021-09-22
21254,949,22,2021-09-21
21253,568,19,2021-09-20
21252,975,21,2021-09-19
21251,941,14,2021-09-18
21250,448,16,2021-09-17
21249,290,11,2021-09-16
21248,308,11,2021-09-15
21247,525,12,2021-09-14
21246,980,17,2021-09-13
21245,926,17,2021-09-12
21244,401,5,2021-09-11
21243,97,16,2021-09-10
21242,973,19,2021-09-09
21241,848,20,2021-09-08
21240,13,4,2021-09-07
21239,319,13,2021-09-06
21238,134,8,2021-09-05
21237,203,5,2021-09-04
21236,714,12,2021-09-03
21235,332,8,2021-09-02
21234,163,10,2021-09-01
21233,22,4,2021-08-31
21232,779,23,2021-08-30
21231,762,15,2021-08-29
21230,775,19,2021-08-28
21229,359,17,2021-08-27
21228,552,12,2021-08-26
21227,357,15,2021-08-25
21226,509,14,2021-08-24
21225,824,14,2021-08-23
21224,937,19,2021-08-22
21223,823,13,2021-08-21
21222,28,10,2021-08-20
21221,185,14,2021-08-19
21220,127,10,2021-08-18
21219,329,14,2021-08-17
21218,530,8,2021-08-16
21217,547,16,2021-08-15
21216,454,13,2021-08-14
21215,712,10,2021-08-13
21214,281,11,2021-08-12
21213,120,3,2021-08-11
21212,12,3,2021-08-10
21211,675,18,2021-08-09
21210,582,15,2021-08-08
21209,654,15,2021-08-07
21208,520,7,2021-08-06
21207,70,7,2021-08-05
21206,469,19,2021-08-04
21205,82,10,2021-08-03
21204,506,11,2021-08-02
21203,959,23,2021-08-01
21202,488,20,2021-07-31
21201,245,11,2021-07-30
21200,409,13,2021-07-29
21199,483,15,2021-07-28
21198,185,14,2021-07-27
21197,64,10,2021-07-26
21196,866,20,2021-07-25
21195,602,8,2021-07-24
21194,523,10,2021-07-23
21193,951,15,2021-07-22
21192,740,11,2021-07-21
